smiles,logK1,metal_type,n_atoms,n_dative_bonds,donor_elements,n_measurements
C1CCCCN23->[Zn+2]<-N(CCC1)(CCOCCOCC2)CCOCCOCC3,6.3,Zn,27,2,N,1
C1CCCN2->[Co+2]<-N(CCNCCNCC1)CC2,9.04,Co,17,2,N,1
C1CCCNCCN2->[Cu+2]<-N(CCCCCCNCCNCCNCC1)CC2,16.2,Cu,27,2,N,1
C1CCCNCCN2->[Ni+2]<-N(CCCCCCNCCNCCNCC1)CC2,16.2,Ni,27,2,N,1
C1CCN->[Ag]<-NC1,5.945,Ag,7,2,N,2
C1CCN->[Ag]<-NCC1,6.22,Ag,8,2,N,1
C1CCN->[Cd+2]<-NC1,3.98,Cd,7,2,N,1
C1CCN->[Cu+2]<-NC1,8.62,Cu,7,2,N,1
C1CCN->[Cu+2]<-NCC1,8.62,Cu,8,2,N,1
C1CCN->[Hg+2]<-NC1,16.975,Hg,7,2,N,2
C1CCN->[Hg+2]<-NCC1,17.26,Hg,8,2,N,1
C1CCN2(->[Cu+2]<-N3(CCCC3)CC2)C1,7.16,Cu,13,2,N,1
C1CCN2->[Cd+2]<-N(CCNCCNC1)CC2,11.3,Cd,15,2,N,1
C1CCN2->[Co+2]<-N(CCCNCCNC1)CC2,12.41,Co,16,2,N,1
C1CCN2->[Co+2]<-N(CCNC1)CC2,9.3,Co,12,2,N,1
C1CCN2->[Co+2]<-N(CCNCCNC1)CC2,11.67,Co,15,2,N,1
C1CCN2->[Co+2]<-N(CCNCCNCCNC1)CC2,15.38,Co,18,2,N,1
C1CCN2->[Cu+2]<-N(CCNCCNC1)CC2,22.365,Cu,15,2,N,2
C1CCN2->[Cu+2]<-N3CCCCC3C2C1,10.5,Cu,13,2,N,1
C1CCN2->[Ni+2]<-N(CCNCCNC1)CC2,14.81,Ni,15,2,N,1
C1CCN2->[Pb+2]<-N(CCNCCNC1)CC2,11.59,Pb,15,2,N,1
C1CCN2->[Zn+2]<-N(CCCNC1)CC2,7.01,Zn,13,2,N,1
C1CCN2->[Zn+2]<-N(CCNCCNC1)CC2,12.9,Zn,15,2,N,1
C1CCN23->[Ag]<-N(CC1)(CCOCCOCC2)CCOCCOCC3,9.31,Ag,24,2,N,1
C1CCN23->[Ba+2]<-N(CC1)(CCOCCOCC2)CCOCCOCC3,2.8,Ba,24,2,N,1
C1CCN23->[Ca+2]<-N(CC1)(CCOCCOCC2)CCOCC3,2.3,Ca,21,2,N,1
C1CCN23->[Ca+2]<-N(CC1)(CCOCCOCC2)CCOCCOCC3,2.0,Ca,24,2,N,1
C1CCN23->[Cd+2]<-N(CC1)(CCOCCOCC2)CCOCC3,5.0,Cd,21,2,N,1
C1CCN23->[Cd+2]<-N(CC1)(CCOCCOCC2)CCOCCOCC3,5.18,Cd,24,2,N,1
C1CCN23->[Co+2]<-N(CC1)(CCOCCOCC2)CCOCC3,4.4,Co,21,2,N,1
C1CCN23->[Co+2]<-N(CC1)(CCOCCOCC2)CCOCCOCC3,5.0,Co,24,2,N,1
C1CCN23->[Cu+2]<-N(CC1)(CCOCCOCC2)CCOCC3,9.33,Cu,21,2,N,1
C1CCN23->[Cu+2]<-N(CC1)(CCOCCOCC2)CCOCCOCC3,9.0,Cu,24,2,N,1
C1CCN23->[Mg+2]<-N(CC1)(CCOCCOCC2)CCOCC3,2.3,Mg,21,2,N,1
C1CCN23->[Mg+2]<-N(CC1)(CCOCCOCC2)CCOCCOCC3,2.1,Mg,24,2,N,1
C1CCN23->[Mn+2]<-N(CC1)(CCOCCOCC2)CCOCC3,4.1,Mn,21,2,N,1
C1CCN23->[Ni+2]<-N(CC1)(CCOCCOCC2)CCOCC3,4.2,Ni,21,2,N,1
C1CCN23->[Ni+2]<-N(CC1)(CCOCCOCC2)CCOCCOCC3,5.5,Ni,24,2,N,1
C1CCN23->[Pb+2]<-N(CC1)(CCOCCOCC2)CCOCC3,8.3,Pb,21,2,N,1
C1CCN23->[Pb+2]<-N(CC1)(CCOCCOCC2)CCOCCOCC3,8.1,Pb,24,2,N,1
C1CCN23->[Sr+2]<-N(CC1)(CCOCCOCC2)CCOCCOCC3,3.0,Sr,24,2,N,1
C1CCN23->[Zn+2]<-N(CC1)(CCOCCOCC2)CCOCC3,6.4,Zn,21,2,N,1
C1CCN23->[Zn+2]<-N(CC1)(CCOCCOCC2)CCOCCOCC3,6.4,Zn,24,2,N,1
C1CCNCCN2->[Cu+2]<-N(CC1)CC2,14.76,Cu,13,2,N,2
C1CCNCCN2->[Cu+2]<-N(CCCCNCCNCCNC1)CC2,16.65,Cu,23,2,N,1
C1CCNCCN2->[Ni+2]<-N(CCCCNCCNCCNC1)CC2,16.65,Ni,23,2,N,1
C1CCNCCN2CCNCCCCCNCCN3(->[Cu+2]<-N(CCCCCNCC2)CC3)CCNCC1,15.39,Cu,36,2,N,1
C1CCNCCNCCCN2->[Co+2]<-N(CC1)CC2,11.7,Co,17,2,N,1
C1CCNCCNCCN2->[Cd+2]<-N(CC1)CC2,10.18,Cd,16,2,N,1
C1CCNCCNCCN2->[Co+2]<-N(CC1)CC2,9.85,Co,16,2,N,1
C1CCNCCNCCN2->[Cu+2]<-N(CC1)CC2,19.825,Cu,16,2,N,2
C1CCNCCNCCN2->[Ni+2]<-N(CC1)CC2,11.745,Ni,16,2,N,2
C1CCNCCNCCN2->[Pb+2]<-N(CC1)CC2,9.5,Pb,16,2,N,1
C1CCNCCNCCN2->[Zn+2]<-N(CC1)CC2,10.7,Zn,16,2,N,1
C1CCNCCNCCNCCN2->[Co+2]<-N(CC1)CC2,11.54,Co,19,2,N,1
C1CCSCCN->[Cu+2]<-NC1,9.49,Cu,10,2,N,1
C1CC[C@H]2N->[Cd+2]<-N[C@H]2C1,5.78,Cd,9,2,N,1
C1CC[C@H]2N->[Co+2]<-N[C@H]2C1,5.79,Co,9,2,N,1
C1CC[C@H]2N->[Cu+2]<-N[C@H]2C1,10.87,Cu,9,2,N,1
C1CC[C@H]2N->[Ni+2]<-N[C@H]2C1,7.41,Ni,9,2,N,1
C1CC[C@H]2N->[Zn+2]<-N[C@H]2C1,6.08,Zn,9,2,N,1
C1CC[C@H]2NCCN3->[Cd+2]<-N(CC3)[C@@H]2C1,10.05,Cd,14,2,N,1
C1CC[C@H]2NCCN3->[Cu+2]<-N(CC3)[C@@H]2C1,16.28,Cu,14,2,N,1
C1CC[C@H]2NCCN3->[Ni+2]<-N(CC3)[C@@H]2C1,12.85,Ni,14,2,N,1
C1CC[C@H]2NCCN3->[Zn+2]<-N(CC3)[C@@H]2C1,12.22,Zn,14,2,N,1
C1CCc2n(nn3->[Co+2]<-n23)CC1,1.06,Co,11,2,N,1
C1CCc2n(nn3->[Cu+2]<-n23)CC1,1.08,Cu,11,2,N,1
C1CCc2n(nn3->[Ni+2]<-n23)CC1,0.54,Ni,11,2,N,1
C1CCc2n(nn3->[Zn+2]<-n23)CC1,1.0,Zn,11,2,N,1
C1CN(CCN2->[Cd+2]<-N3(CCNCC3)CC2)CCN1,4.27,Cd,18,2,N,1
C1CN(CCN2->[Cu+2]<-N3(CCNCC3)CC2)CCN1,10.56,Cu,18,2,N,1
C1CN->[Ag]<-N1,5.16,Ag,5,2,N,2
C1CN->[Ag]<-NC1,6.15,Ag,6,2,N,2
C1CN->[Ca+2]<-N1,0.15,Ca,5,2,N,3
C1CN->[Cd+2]<-N1,5.59,Cd,5,2,N,16
